line,station
56,Nagyhíd
56,Zuhatag sor
56,Kelemen László utca
56,Akadémia
56,Budagyöngye
56,Nagyajtai utca
56,Szent János Kórház
56,Városmajor
56,Nyúl utca
56,Széll Kálmán tér M
56,Déli pályaudvar M
56,Mikó utca
56,Krisztina tér
56,Dózsa György tér
56,Döbrentei tér
56,Rudas Gyógyfürdő
56,Szent Gellért tér M
56,Gárdonyi tér
56,Móricz Zsigmond körtér M
56,Kosztolányi Dezső tér
56,Karolina út
56,Csóka utca
59,Szent János Kórház
59,Városmajor
59,Nyúl utca
59,Széll Kálmán tér M
59,Déli pályaudvar M
59,Kék Golyó utca
59,Királyhágó tér
59,Kiss János altábornagy utca
59,Apor Vilmos tér
59,Zólyomi lépcső
59,Vas Gereben utca
59,Liptó utca
59,Farkasréti temető
59,Süveg utca
59,Márton Áron tér
60,Városmajor
60,Szent János Kórház
60,Orgonás
60,Esze Tamás iskola
60,Erdei iskola
60,Adonis utca
60,Városkút
60,Svábhegy
60,Művész út
60,"Széchenyi-hegy, Gyermekvasút"
61,Hűvösvölgy
61,Heinrich István utca
61,Völgy utca
61,Vadaskerti utca
61,Nagyhíd
61,Zuhatag sor
61,Kelemen László utca
61,Akadémia
61,Budagyöngye
61,Nagyajtai utca
61,Szent János Kórház
61,Városmajor
61,Nyúl utca
61,Széll Kálmán tér M
61,Déli pályaudvar M
61,Nagyenyed utca
61,Királyhágó utca
61,Csörsz utca
61,BAH-csomópont
61,Budaörsi út / Villányi út
61,Alsóhegy utca
61,Pető Intézet (Villányi út)
61,Szüret utca
61,Tas vezér utca
61,Móricz Zsigmond körtér M
61,Móricz Zsigmond körtér M
62,Blaha Lujza tér M (Népszínház utca)
62,II. János Pál pápa tér M
62,Teleki László tér
62,Magdolna utca
62,Orczy tér
62,Kőbányai út 21.
62,Kőbányai út 31.
62,Kőbányai út / Könyves Kálmán körút
62,Északi Járműjavító
62,Egészségház
62,Mázsa utca
62,Kőbánya alsó vasútállomás
62,Szent László tér
62,Ónodi utca
62,Élessarok
62,Terebesi utca
62,Fehér úti ipari park
62,Örs vezér tere M+H
62,Örs vezér tere M+H
62,Tihamér utca
62,Pongrátz Gergely tér
62,Jeszenák János utca
62,Egressy tér
62,Szugló utca / Nagy Lajos király útja
62,Bosnyák tér
62,Kerékgyártó utca
62,Nagy Lajos király útja / Czobor utca
62,Fűrész utca
62,Rákospatak utca
62,Miskolci utca
62,Öv utca
62,Tóth István utca
62,"Rákospalota, MÁV-telep"
69,Mexikói út M
69,"Erzsébet királyné útja, aluljáró"
69,Laky Adolf utca
69,Nagy Lajos király útja / Czobor utca
69,Fűrész utca
69,Rákospatak utca
69,Miskolci utca
69,Öv utca
69,Tóth István utca
69,"Rákospalota, MÁV-telep"
69,Szerencs utca / Bánkút utca
69,Sárfű utca
69,Vásárcsarnok
69,Fő tér
69,"Újpalota, Erdőkerülő utca"
